simple_id,param_id,smirks,equilibrium_value
b0,specificity=0 index=0 count=18,[#15X4:1]~[#8X2:2],N/A
b1,specificity=0 index=1 count=17,[#15X3:1]~[#8X2:2],N/A
b2,specificity=0 index=2 count=14,[#6X2:1]~[#6X3:2],N/A
b3,specificity=0 index=3 count=12,[#16X2:1]~[#7X3:2],N/A
b4,specificity=0 index=4 count=12,[#15X5:1]~[#7X3:2],N/A
b5,specificity=0 index=5 count=11,[#16X3:1]~[#7X2:2],N/A
b6,specificity=0 index=6 count=11,[#6X2:1]~[#6X4:2],N/A
b7,specificity=0 index=7 count=11,[#16X2:1]~[#8X2:2],N/A
b8,specificity=0 index=8 count=10,[#16X2:1]~[#16X3:2],N/A
b9,specificity=0 index=9 count=10,[#15X4:1]~[#7X3:2],N/A
b10,specificity=0 index=10 count=9,[#7X2:1]~[#8X2:2],N/A
b11,specificity=0 index=11 count=9,[#16X2:1]~[#6X3:2],N/A
b12,specificity=0 index=12 count=9,[#7X2:1]~[#7X2:2],N/A
b13,specificity=0 index=13 count=9,[#53X1:1]~[#6X4:2],N/A
b14,specificity=0 index=14 count=9,[#15X4:1]~[#9X1:2],N/A
b15,specificity=0 index=15 count=9,[#15X4:1]~[#16X1:2],N/A
b16,specificity=0 index=16 count=9,[#16X3:1]~[#6X4:2],N/A
b17,specificity=0 index=17 count=8,[#16X3:1]~[#8X1:2],N/A
b18,specificity=0 index=18 count=8,[#6X4:1]~[#7X4:2],N/A
b19,specificity=0 index=19 count=8,[#15X3:1]~[#6X4:2],N/A
b20,specificity=0 index=20 count=8,[#7X4:1]~[#8X1:2],N/A
b21,specificity=0 index=21 count=8,[#6X3:1]~[#8X1:2],N/A
b22,specificity=0 index=22 count=8,[#35X1:1]~[#6X4:2],N/A
b23,specificity=0 index=23 count=8,[#16X3:1]~[#8X2:2],N/A
b24,specificity=0 index=24 count=8,[#6X4:1]~[#9X1:2],N/A
b25,specificity=0 index=25 count=8,[#16X2:1]~[#7X2:2],N/A
b26,specificity=0 index=26 count=8,[#6X4:1]~[#8X1:2],N/A
b27,specificity=0 index=27 count=7,[#15X4:1]~[#8X1:2],N/A
b28,specificity=0 index=28 count=7,[#16X2:1]~[#17X1:2],N/A
b29,specificity=0 index=29 count=7,[#8X2:1]~[#8X2:2],N/A
b30,specificity=0 index=30 count=7,[#16X4:1]~[#8X2:2],N/A
b31,specificity=0 index=31 count=7,[#15X3:1]~[#6X3:2],N/A
b32,specificity=0 index=32 count=7,[#1X1:1]~[#6X3:2],N/A
b33,specificity=0 index=33 count=7,[#16X4:1]~[#6X4:2],N/A
b34,specificity=0 index=34 count=6,[#7X3:1]~[#7X4:2],N/A
b35,specificity=0 index=35 count=6,[#6X4:1]~[#7X2:2],N/A
b36,specificity=0 index=36 count=6,[#16X2:1]~[#8X1:2],N/A
b37,specificity=0 index=37 count=6,[#6X2:1]~[#8X1:2],N/A
b38,specificity=0 index=38 count=6,[#15X5:1]~[#8X2:2],N/A
b39,specificity=0 index=39 count=6,[#6X3:1]~[#7X2:2],N/A
b40,specificity=0 index=40 count=6,[#16X4:1]~[#1X1:2],N/A
b41,specificity=0 index=41 count=5,[#16X3:1]~[#7X3:2],N/A
b42,specificity=0 index=42 count=5,[#6X4:1]~[#8X2:2],N/A
b43,specificity=0 index=43 count=5,[#7X3:1]~[#8X1:2],N/A
b44,specificity=0 index=44 count=5,[#15X3:1]~[#16X2:2],N/A
b45,specificity=0 index=45 count=5,[#53X1:1]~[#6X2:2],N/A
b46,specificity=0 index=46 count=5,[#6X3:1]~[#8X2:2],N/A
b47,specificity=0 index=47 count=5,[#7X4:1]~[#8X2:2],N/A
b48,specificity=0 index=48 count=5,[#6X2:1]~[#6X2:2],N/A
b49,specificity=0 index=49 count=5,[#1X1:1]~[#7X3:2],N/A
b50,specificity=0 index=50 count=5,[#15X4:1]~[#7X2:2],N/A
b51,specificity=0 index=51 count=5,[#16X1:1]~[#6X3:2],N/A
b52,specificity=0 index=52 count=5,[#7X2:1]~[#7X3:2],N/A
b53,specificity=0 index=53 count=4,[#15X4:1]~[#35X1:2],N/A
b54,specificity=0 index=54 count=4,[#17X1:1]~[#6X2:2],N/A
b55,specificity=0 index=55 count=4,[#16X2:1]~[#16X2:2],N/A
b56,specificity=0 index=56 count=4,[#17X1:1]~[#6X3:2],N/A
b57,specificity=0 index=57 count=4,[#6X3:1]~[#9X1:2],N/A
b58,specificity=0 index=58 count=4,[#15X5:1]~[#9X1:2],N/A
b59,specificity=0 index=59 count=4,[#35X1:1]~[#7X3:2],N/A
b60,specificity=0 index=60 count=4,[#15X3:1]~[#16X1:2],N/A
b61,specificity=0 index=61 count=4,[#16X3:1]~[#17X1:2],N/A
b62,specificity=0 index=62 count=4,[#16X3:1]~[#6X3:2],N/A
b63,specificity=0 index=63 count=4,[#17X1:1]~[#7X3:2],N/A
b64,specificity=0 index=64 count=3,[#15X4:1]~[#6X4:2],N/A
b65,specificity=0 index=65 count=3,[#15X4:1]~[#17X1:2],N/A
b66,specificity=0 index=66 count=3,[#16X4:1]~[#6X3:2],N/A
b67,specificity=0 index=67 count=3,[#15X5:1]~[#6X4:2],N/A
b68,specificity=0 index=68 count=3,[#15X5:1]~[#53X1:2],N/A
b69,specificity=0 index=69 count=3,[#15X5:1]~[#6X3:2],N/A
b70,specificity=0 index=70 count=3,[#7X3:1]~[#8X2:2],N/A
b71,specificity=0 index=71 count=3,[#15X4:1]~[#16X2:2],N/A
b72,specificity=0 index=72 count=3,[#35X1:1]~[#6X2:2],N/A
b73,specificity=0 index=73 count=2,[#15X3:1]~[#8X1:2],N/A
b74,specificity=0 index=74 count=2,[#1X1:1]~[#7X4:2],N/A
b75,specificity=0 index=75 count=2,[#16X2:1]~[#35X1:2],N/A
b76,specificity=0 index=76 count=2,[#15X3:1]~[#1X1:2],N/A
b77,specificity=0 index=77 count=2,[#15X3:1]~[#6X2:2],N/A
b78,specificity=0 index=78 count=2,[#16X4:1]~[#7X2:2],N/A
b79,specificity=0 index=79 count=2,[#35X1:1]~[#6X3:2],N/A
b80,specificity=0 index=80 count=2,[#15X3:1]~[#17X1:2],N/A
b81,specificity=0 index=81 count=1,[#53X1:1]~[#6X3:2],N/A
b82,specificity=0 index=82 count=1,[#15X4:1]~[#6X2:2],N/A
b83,specificity=0 index=83 count=1,[#17X1:1]~[#7X2:2],N/A
b84,specificity=0 index=84 count=1,[#7X3:1]~[#9X1:2],N/A
b85,specificity=0 index=85 count=1,[#53X1:1]~[#7X3:2],N/A
b86,specificity=0 index=86 count=1,[#15X3:1]~[#53X1:2],N/A
b87,specificity=0 index=87 count=1,[#16X4:1]~[#6X2:2],N/A
b88,specificity=0 index=88 count=1,[#7X2:1]~[#9X1:2],N/A
b89,specificity=0 index=89 count=1,[#15X3:1]~[#35X1:2],N/A
b90,specificity=0 index=90 count=1,[#15X2:1]~[#6X4:2],N/A
b91,specificity=0 index=91 count=1,[#15X2:1]~[#7X2:2],N/A
b92,specificity=0 index=92 count=1,[#15X5:1]~[#16X2:2],N/A
b93,specificity=0 index=93 count=1,[#16X3:1]~[#7X4:2],N/A
b94,specificity=0 index=94 count=1,[#16X3:1]~[#1X1:2],N/A
b95,specificity=0 index=95 count=1,[#16X2:1]~[#16X4:2],N/A
b96,specificity=0 index=96 count=1,[#35X1:1]~[#7X2:2],N/A
b97,specificity=0 index=97 count=1,[#15X5:1]~[#1X1:2],N/A
b98,specificity=0 index=98 count=1,[#17X1:1]~[#6X4:2],N/A
b99,specificity=1 index=0 count=33,[#6X4:1]~[#7X3:2],N/A
b100,specificity=1 index=1 count=33,[#6X4:1]~[#6X4:2],N/A
b101,specificity=1 index=2 count=23,[#6X3:1]~[#7X3:2],N/A
b102,specificity=1 index=3 count=21,[#15X4:1]~[#6X4:2],N/A
b103,specificity=1 index=4 count=19,[#16X4:1]~[#7X3:2],N/A
b104,specificity=1 index=5 count=19,[#6X4:1]~[#7X4:2],N/A
b105,specificity=1 index=6 count=16,[#16X3:1]~[#6X4:2],N/A
b106,specificity=1 index=7 count=16,[#6X3:1]~[#6X3:2],N/A
b107,specificity=1 index=8 count=15,[#15X3:1]~[#7X3:2],N/A
b108,specificity=1 index=9 count=14,[#6X3:1]~[#6X4:2],N/A
b109,specificity=1 index=10 count=14,[#15X4:1]~[#6X3:2],N/A
b110,specificity=1 index=11 count=14,[#7X3:1]~[#7X3:2],N/A
b111,specificity=1 index=12 count=12,[#15X5:1]~[#17X1:2],N/A
b112,specificity=1 index=13 count=11,[#6X3:1]~[#7X4:2],N/A
b113,specificity=1 index=14 count=11,[#15X3:1]~[#6X3:2],N/A
b114,specificity=1 index=15 count=11,[#6X2:1]~[#7X3:2],N/A
b115,specificity=1 index=16 count=11,[#6X4:1]~[#7X2:2],N/A
b116,specificity=1 index=17 count=10,[#16X2:1]~[#6X4:2],N/A
b117,specificity=1 index=18 count=10,[#15X5:1]~[#8X2:2],N/A
b118,specificity=1 index=19 count=52,[#6X4:1]~;@[#7X3:2],N/A
b119,specificity=1 index=20 count=40,[#6X4:1]~;@[#6X4:2],N/A
b120,specificity=1 index=21 count=36,[#6X4:1]~;@[#8X2:2],N/A
b121,specificity=1 index=22 count=26,[#6X3:1]~;@[#6X3:2],N/A
b122,specificity=1 index=23 count=21,[#6X3:1]~;@[#7X3:2],N/A
b123,specificity=1 index=24 count=21,[#16X2:1]~;@[#6X4:2],N/A
b124,specificity=1 index=25 count=21,[#15X3:1]~;@[#7X3:2],N/A
b125,specificity=1 index=26 count=20,[#16X2:1]~;@[#6X3:2],N/A
b126,specificity=1 index=27 count=19,[#6X3:1]~;@[#8X2:2],N/A
b127,specificity=1 index=28 count=17,[#6X3:1]~;@[#7X4:2],N/A
b128,specificity=1 index=29 count=17,[#6X3:1]~;@[#6X4:2],N/A
b129,specificity=1 index=30 count=16,[#15X4:1]~;@[#6X3:2],N/A
b130,specificity=1 index=31 count=15,[#16X4:1]~;@[#6X4:2],N/A
b131,specificity=1 index=32 count=13,[#6X3:1]~;@[#7X2:2],N/A
b132,specificity=1 index=33 count=12,[#7X3:1]~;@[#7X3:2],N/A
b133,specificity=1 index=34 count=12,[#16X3:1]~;@[#6X3:2],N/A
b134,specificity=1 index=35 count=11,[#15X4:1]~;@[#16X2:2],N/A
b135,specificity=1 index=36 count=11,[#15X3:1]~;@[#6X4:2],N/A
b136,specificity=1 index=37 count=10,[#7X3:1]~;@[#8X2:2],N/A
b137,specificity=1 index=38 count=10,[#16X4:1]~;@[#7X3:2],N/A
b138,specificity=2 index=0 count=152763,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b139,specificity=2 index=1 count=92961,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r6:2],N/A
b140,specificity=2 index=2 count=46371,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r6:2],N/A
b141,specificity=2 index=3 count=23716,[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b142,specificity=2 index=4 count=22533,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r5:2],N/A
b143,specificity=2 index=5 count=17994,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b144,specificity=2 index=6 count=13538,[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#8X1;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b145,specificity=2 index=7 count=13015,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r5:2],N/A
b146,specificity=2 index=8 count=10374,[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b147,specificity=2 index=9 count=9631,[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b148,specificity=2 index=10 count=9329,[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b149,specificity=2 index=11 count=8946,[#6X3;r6:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b150,specificity=2 index=12 count=8790,[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b151,specificity=2 index=13 count=8441,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b152,specificity=2 index=14 count=6219,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b153,specificity=2 index=15 count=6091,[#6X3;r6:1]~[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b154,specificity=2 index=16 count=6076,[#6X3;r6:1]~[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b155,specificity=2 index=17 count=6012,[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#9X1;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b156,specificity=2 index=18 count=5007,[#6X3;r6:1]~[#8X1;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b157,specificity=2 index=19 count=4672,[#6X3;r5:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b158,specificity=2 index=20 count=4496,[#17X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r6:2],N/A
b159,specificity=2 index=21 count=4444,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r3:2],N/A
b160,specificity=2 index=22 count=4267,[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r6:2],N/A
b161,specificity=2 index=23 count=4133,[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b162,specificity=2 index=24 count=3890,[#16X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#8X1;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b163,specificity=2 index=25 count=3835,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;r5:2],N/A
b164,specificity=2 index=26 count=3414,[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b165,specificity=2 index=27 count=3237,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r7:2],N/A
b166,specificity=2 index=28 count=3120,[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r6:2],N/A
b167,specificity=2 index=29 count=3078,[#6X3;r6:1]~[#9X1;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b168,specificity=2 index=30 count=3064,[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;r5:2],N/A
b169,specificity=2 index=31 count=2959,[#6X3;r5:1]~[#8X1;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b170,specificity=2 index=32 count=2820,[#6X3;r5:1]~[#6X3;r6:2],N/A
b171,specificity=2 index=33 count=2754,[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r5:2],N/A
b172,specificity=2 index=34 count=2415,[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r5:2],N/A
b173,specificity=2 index=35 count=2363,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;r6:2],N/A
b174,specificity=2 index=36 count=2227,[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r4:2],N/A
b175,specificity=2 index=37 count=2209,[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;r6:2],N/A
b176,specificity=2 index=38 count=2120,[#16X2;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b177,specificity=2 index=39 count=1833,[#6X2;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X1;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b178,specificity=2 index=40 count=1798,[#6X3;r5:1]~[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b179,specificity=2 index=41 count=1754,[#6X3;r6:1]~[#6X3;r6:2],N/A
b180,specificity=2 index=42 count=1732,[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#8X1;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b181,specificity=2 index=43 count=1473,[#6X3;r6:1]~[#7X3;r5:2],N/A
b182,specificity=2 index=44 count=1405,[#35X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r6:2],N/A
b183,specificity=2 index=45 count=1379,[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X2;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b184,specificity=2 index=46 count=1328,[#6X4;r6:1]~[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b185,specificity=2 index=47 count=1151,[#16X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r6:2],N/A
b186,specificity=2 index=48 count=1028,[#16X2;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r6:2],N/A
b187,specificity=2 index=49 count=1009,[#6X2;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r6:2],N/A
b188,specificity=2 index=50 count=908,[#17X1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b189,specificity=2 index=51 count=874,[#16X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b190,specificity=2 index=52 count=851,[#6X3;r6:1]~[#7X3;r6:2],N/A
b191,specificity=2 index=53 count=846,[#15X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b192,specificity=2 index=54 count=829,[#6X2;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b193,specificity=2 index=55 count=818,[#6X3;r6:1]~[#7X2;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b194,specificity=2 index=56 count=807,[#6X4;r5:1]~[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
b195,specificity=2 index=57 count=788,[#16X4;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],N/A
