simple_id,param_id,smirks,equilibrium_value
a0,specificity=0 index=0 count=473,[*:1]~[#6X4:2]~[*:3],N/A
a1,specificity=0 index=1 count=224,[*:1]~[#7X3:2]~[*:3],N/A
a2,specificity=0 index=2 count=213,[*:1]~[#6X3:2]~[*:3],N/A
a3,specificity=0 index=3 count=115,[*:1]~[#16X4:2]~[*:3],N/A
a4,specificity=0 index=4 count=109,[*:1]~[#8X2:2]~[*:3],N/A
a5,specificity=0 index=5 count=101,[*:1]~[#7X4:2]~[*:3],N/A
a6,specificity=0 index=6 count=83,[*:1]~[#16X2:2]~[*:3],N/A
a7,specificity=0 index=7 count=80,[*:1]~[#15X4:2]~[*:3],N/A
a8,specificity=0 index=8 count=71,[*:1]~[#7X2:2]~[*:3],N/A
a9,specificity=0 index=9 count=63,[*:1]~[#16X3:2]~[*:3],N/A
a10,specificity=0 index=10 count=48,[*:1]~[#15X3:2]~[*:3],N/A
a11,specificity=0 index=11 count=34,[*:1]~[#15X5:2]~[*:3],N/A
a12,specificity=0 index=12 count=26,[*:1]~[#6X2:2]~[*:3],N/A
a13,specificity=0 index=13 count=1,[*:1]~[#15X2:2]~[*:3],N/A
a14,specificity=1 index=0 count=17,[!#1;r3:1]~[#7X3;r5:2]~[!#1;r5:3],N/A
a15,specificity=1 index=1 count=16,[!#1;r4:1]~[#6X3;r6:2]~[!#1;r6:3],N/A
a16,specificity=1 index=2 count=15,[!#1;r3:1]~[#6X4;r5:2]~[!#1;r6:3],N/A
a17,specificity=1 index=3 count=14,[!#1;r3:1]~[#6X4;r5:2]~[!#1;r5:3],N/A
a18,specificity=1 index=4 count=13,[!#1;r5:1]~[#6X4;r3:2]~[!#1;r5:3],N/A
a19,specificity=1 index=5 count=13,[!#1;r5:1]~[#6X4;r3:2]~[!#1;r6:3],N/A
a20,specificity=1 index=6 count=13,[!#1;r3:1]~[#6X4;r6:2]~[!#1;r6:3],N/A
a21,specificity=1 index=7 count=12,[!#1;r5:1]~[#6X3;r7:2]~[!#1;r6:3],N/A
a22,specificity=1 index=8 count=12,[!#1;r6:1]~[#7X4;r6:2]~[!#1;r6:3],N/A
a23,specificity=1 index=9 count=12,[!#1;r5:1]~[#7X3;r7:2]~[!#1;r7:3],N/A
