smirks,k_kJ_mol_per_A2,length_A,cluster
[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],3124.5971035156253,1.0915437936782837,1
[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#6X3;r6:2],3365.2841040039066,1.0803292989730835,1
[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#6X4;r6:2],3089.2511904296875,1.0949254035949707,1
[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],2080.1687849121095,1.5195955038070679,60
[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#6X4;r5:2],3086.1706489257813,1.092606544494629,1
[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2],4251.311734375,1.0121628046035767,0
[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]=[#8X1;!r3;!r4;!r5;!r6;!r7;!r8:2],6330.4696328125,1.2125848531723022,10
[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#6X3;r5:2],3364.0991821289062,1.0890790224075317,1
[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2],2618.892110839844,1.451005220413208,53
[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2],2486.2250400390626,1.427463173866272,54
[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],1836.8086875000001,1.5221792459487915,59
[#6X3;r6:1]-[#6X4;!r3;!r4;!r5;!r6;!r7;!r8:2],2376.4177680664066,1.5028983354568481,-1
[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#7X3;!r3;!r4;!r5;!r6;!r7;!r8:2],3528.0129492187502,1.3626350164413452,-1
[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2],4592.993661132813,0.9705137014389038,-1
[#1X1;!r3;!r4;!r5;!r6;!r7;!r8:1]-[#6X3;!r3;!r4;!r5;!r6;!r7;!r8:2],3310.7493515625,1.0859856605529785,1
[#6X3;r6:1]-[#8X2;!r3;!r4;!r5;!r6;!r7;!r8:2],3291.6085219726565,1.369799256324768,-1
