smirks,k_kJ_mol_per_A2,length_A,cluster
[#15X4:1]~[#8X2:2],2733.762625488281,1.631629228591919,-1
[#15X3:1]~[#8X2:2],2034.4489318847657,1.6884307861328125,18
[#6X2:1]~[#6X3:2],1009.1174552001953,1.3933624029159546,-1
[#16X2:1]~[#7X3:2],2365.1219384765627,1.6874412298202515,18
[#15X5:1]~[#7X3:2],1504.0097165527345,1.732345700263977,20
[#16X3:1]~[#7X2:2],1125.3893825683595,1.7052292823791504,-1
[#6X2:1]~[#6X4:2],2603.003942871094,1.4683125019073486,15
[#16X2:1]~[#8X2:2],2316.927539550781,1.6723731756210327,18
[#16X2:1]~[#16X3:2],1321.7872465820312,2.137995481491089,8
[#15X4:1]~[#7X3:2],2057.5223486328127,1.6653867959976196,-1
[#7X2:1]~[#8X2:2],1694.5011025390625,1.4135940074920654,15
[#16X2:1]~[#6X3:2],2067.2143200683595,1.7679102420806885,19
[#7X2:1]~[#7X2:2],4335.513712890625,1.1875559091567993,-1
[#53X1:1]~[#6X4:2],1011.963119140625,2.1562538146972656,8
[#15X4:1]~[#9X1:2],1810.761729736328,1.5572668313980103,15
[#15X4:1]~[#16X1:2],2451.310704101563,1.91731858253479,-1
[#16X3:1]~[#6X4:2],1201.1053349892654,1.8469075286754442,-1
[#16X3:1]~[#8X1:2],4901.22299609375,1.4805364608764648,6
[#6X4:1]~[#7X4:2],1770.1314003271905,1.455998757608,15
[#15X3:1]~[#6X4:2],1429.3215881347658,1.8120014667510986,24
[#7X4:1]~[#8X1:2],6516.138208007813,1.3348865509033203,-1
[#6X3:1]~[#8X1:2],6925.445975585938,1.2101788520812988,11
[#35X1:1]~[#6X4:2],1200.7135126953126,1.9315390586853027,10
[#16X3:1]~[#8X2:2],1446.0905310058595,1.6618525981903076,-1
[#6X4:1]~[#9X1:2],3230.0929453125,1.375167965888977,15
[#16X2:1]~[#7X2:2],221.36642156982424,2.245819091796875,-1
[#6X4:1]~[#8X1:2],2053.675310791016,1.3038825988769531,-1
[#15X4:1]~[#8X1:2],5926.512911132812,1.455061912536621,6
[#16X2:1]~[#17X1:2],1334.8220256347656,2.033477306365967,9
[#8X2:1]~[#8X2:2],2160.6611152343753,1.4385491609573364,15
[#16X4:1]~[#8X2:2],326.37083361816406,1.5576251745224,-1
[#15X3:1]~[#6X3:2],1482.515118286559,1.85338894597,21
[#1X1:1]~[#6X3:2],3267.8393466796874,1.0814800262451172,3
[#16X4:1]~[#6X4:2],1686.2473811035156,1.7881830930709839,-1
[#7X3:1]~[#7X4:2],2705.1513588867188,1.433087944984436,15
[#6X4:1]~[#7X2:2],1770.1314003271905,1.4559987576080002,15
[#16X2:1]~[#8X1:2],5025.685249023438,1.485162377357483,6
[#6X2:1]~[#8X1:2],5716.5141103515625,1.1433990001678467,-1
[#15X5:1]~[#8X2:2],2155.091794135076,1.6334633569129997,-1
[#6X3:1]~[#7X2:2],5259.353885742188,1.2543967962265015,12
[#16X4:1]~[#1X1:2],2308.2479868164064,1.358593225479126,15
[#16X3:1]~[#7X3:2],1675.8071723632813,1.714762806892395,-1
[#6X4:1]~[#8X2:2],2669.7684169921877,1.4263935089111328,15
[#7X3:1]~[#8X1:2],5621.070185546875,1.264219880104065,12
[#15X3:1]~[#16X2:2],1491.6712067871094,2.1403064727783203,8
[#53X1:1]~[#6X2:2],607.4546043701172,1.713790774345398,-1
[#6X3:1]~[#8X2:2],3084.8631489257814,1.2983698844909668,15
[#7X4:1]~[#8X2:2],2518.337955078125,1.4120897054672241,15
[#6X2:1]~[#6X2:2],10161.9594609375,1.2037526369094849,-1
[#1X1:1]~[#7X3:2],3709.564431640625,1.0128417015075684,-1
[#15X4:1]~[#7X2:2],3530.4864736328127,1.5529694557189941,-1
[#16X1:1]~[#6X3:2],2936.1122958984374,1.6348657608032227,18
[#7X2:1]~[#7X3:2],123.07141416931152,0.7473606467247009,0
[#15X4:1]~[#35X1:2],980.502996459961,2.224273443222046,-1
[#17X1:1]~[#6X2:2],1505.1996181640625,1.5889009237289429,14
[#16X2:1]~[#16X2:2],1563.650486328125,2.026362657546997,9
[#17X1:1]~[#6X3:2],1689.7510725097657,1.7155293226242065,-1
